Product code,Language,Vendor,Product id,Product URL,Product name,Image URL,Quantity,Price,Category,Description
"EIC610","en","East India Cases","32","http://www.threadcrafts.in/accessories/mobile-cases-covers/stuart-minion-pro-i6s/","Stuart Minion - iPhone 6s / 6","http://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/I6-BK3IN-610.jpg","1","449.00","Accessories///Mobile cases/covers","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing prices you can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variant </strong>- Molded with premium Polycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>"
"EIC611","en","East India Cases","31","http://www.threadcrafts.in/accessories/mobile-cases-covers/hulk-pro-i6s/","Hulk - iPhone 6s / 6","http://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/I6-BK3IN-611.jpg","1","449.00","Accessories///Mobile cases/covers","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing prices you can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variant </strong>- Molded with premium Polycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>"
"EIC1442","en","East India Cases","20","http://www.threadcrafts.in/accessories/mobile-cases-covers/iron-man-head-pro-i5s/","Iron Man Head - iPhone SE / 5s","http://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/I5S-BK3IN-1442.jpg","1","449.00","Accessories///Mobile cases/covers","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing prices you can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variant </strong>- Molded with premium Polycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>"
"EIC3002","en","East India Cases","21","http://www.threadcrafts.in/accessories/mobile-cases-covers/big-eyed-batman-pro-i5s/","Big Eyed Batman - iPhone SE / 5s","http://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/I5S-EIC3IN-3002.jpg","1","449.00","Accessories///Mobile cases/covers","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing prices you can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variant </strong>- Molded with premium Polycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>"
"EIC4021","en","East India Cases","22","http://www.threadcrafts.in/accessories/mobile-cases-covers/jon-snow-pro-i5s/","Jon Snow - iPhone SE / 5s","http://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/I5S-EIC3IN-4021.jpg","1","449.00","Accessories///Mobile cases/covers","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing prices you can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variant </strong>- Molded with premium Polycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>"
"EIC4005","en","East India Cases","23","http://www.threadcrafts.in/accessories/mobile-cases-covers/the-north-remembers-pro-i5s/","The North Remembers - iPhone SE / 5s","http://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/I5S-EIC3IN-4005.jpg","1","449.00","Accessories///Mobile cases/covers","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing prices you can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variant </strong>- Molded with premium Polycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>"
"EIC5014","en","East India Cases","24","http://www.threadcrafts.in/accessories/mobile-cases-covers/silence-speaks-when-words-cant-pro-i5s/","Silence Speaks When Words Can't - iPhone SE / 5s","http://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/I5S-EIC3IN-5014.jpg","1","449.00","Accessories///Mobile cases/covers","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing prices you can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variant </strong>- Molded with premium Polycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>"
"EIC5003","en","East India Cases","25","http://www.threadcrafts.in/accessories/mobile-cases-covers/bigger-dreams-louder-actions-pro-i5s/","Bigger Dreams Louder Actions - iPhone SE / 5s","http://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/I5S-EIC3IN-5003.jpg","1","449.00","Accessories///Mobile cases/covers","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing prices you can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variant </strong>- Molded with premium Polycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>"
"EIC4511","en","East India Cases","26","http://www.threadcrafts.in/accessories/mobile-cases-covers/cristiano-ronaldo-pro-i5s/","Cristiano Ronaldo - iPhone SE / 5s","http://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/I5S-EIC3IN-4511.jpg","2","449.00","Accessories///Mobile cases/covers","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing prices you can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variant </strong>- Molded with premium Polycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>"
"EIC4501","en","East India Cases","27","http://www.threadcrafts.in/accessories/mobile-cases-covers/manchester-united-pro-i5s/","Manchester United - iPhone SE / 5s","http://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/I5S-EIC3IN-4501.jpg","1","449.00","Accessories///Mobile cases/covers","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing prices you can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variant </strong>- Molded with premium Polycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>"
